location_id,area_name,airbnb_listing_count,priced_airbnb_count,median_airbnb_nzd_per_night,active_bonds,median_bond_rent_nzd_per_week,median_gap_nzd_per_night
329000,,16,13,172.0,237.0,730.0,67.71428571428571
329100,,21,18,187.0,486.0,555.0,107.71428571428571
329200,,8,7,120.0,270.0,595.0,35.0
329300,,10,10,108.5,189.0,505.0,36.35714285714286
329400,,16,15,228.0,585.0,520.0,153.71428571428572
329500,,4,4,192.0,138.0,650.0,99.14285714285714
329600,,14,14,225.0,399.0,520.0,150.71428571428572
329700,,14,10,254.0,576.0,540.0,176.85714285714286
329800,,3,2,142.0,138.0,365.0,89.85714285714286
329900,,13,11,84.0,639.0,463.0,17.85714285714286
330000,,17,15,170.0,66.0,700.0,70.0
330100,,10,9,108.0,369.0,500.0,36.57142857142857
330200,,44,40,181.0,480.0,520.0,106.71428571428571
330300,,15,14,259.0,141.0,700.0,159.0
330500,,8,8,257.5,258.0,490.0,187.5
330600,,15,11,99.0,135.0,620.0,10.42857142857143
330800,,10,9,183.0,162.0,640.0,91.57142857142857
330900,,2,2,162.0,111.0,555.0,82.71428571428571
331000,,4,3,207.0,108.0,548.0,128.71428571428572
331100,,10,9,151.0,339.0,530.0,75.28571428571429
331200,,17,17,126.0,108.0,550.0,47.42857142857143
331300,,28,23,184.0,156.0,713.0,82.14285714285714
331400,,14,13,133.0,162.0,445.0,69.42857142857143
331500,,2,2,281.0,,,
331600,,3,3,137.0,,,
331700,,19,16,189.0,210.0,640.0,97.57142857142857
331800,,4,4,298.5,,,
331900,,10,9,164.0,114.0,750.0,56.85714285714286
332000,,33,28,212.5,153.0,700.0,112.5
332100,,27,25,294.0,153.0,700.0,194.0
332200,,11,11,174.0,,,
332300,,2,2,454.5,,,
332400,,32,29,194.0,90.0,820.0,76.85714285714286
332500,,59,54,224.5,231.0,600.0,138.78571428571428
332600,,3,1,196.0,,,
332700,Sumner,68,59,309.0,258.0,620.0,220.42857142857144
332800,,8,8,197.0,,,
332900,,49,44,218.5,,,
333100,,37,33,197.0,,,
333200,,32,29,274.0,,,
333300,,85,66,275.0,,,
333400,,24,22,236.0,,,
333500,,103,93,306.0,,,
363800,,2,2,538.5,,,
